# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = lw
# n_profile      = 1
# n_layer        = 60
# n_band         = 17
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
     201       6    17.543860    19.230769   4.719602E-011   2.353627E+001   1.801929E+000   2.358032E+001  -2.353627E+001  -2.177839E+001  -1.757881E+000
     201       7    13.333333    17.543860   1.360512E-009   7.222934E+001   7.768385E+001   8.326981E+001  -7.222934E+001  -5.585969E+000  -6.664337E+001
     201       8    11.627907    13.333333   1.015156E-009   4.490308E+001   6.804660E+000   4.520572E+001  -4.490308E+001  -3.840106E+001  -6.502013E+000
     201       9     9.009009    11.627907   1.489354E-009   7.813270E+001   3.393350E+000   7.827343E+001  -7.813270E+001  -7.488008E+001  -3.252616E+000
     201      10     8.695652     9.009009   5.722534E-011   9.352644E+000   1.031330E-004   9.352645E+000  -9.352644E+000  -9.352542E+000  -1.017657E-004
     201      11     8.333333     8.695652  -2.342420E-010   1.057311E+001   2.963258E-005   1.057311E+001  -1.057311E+001  -1.057308E+001  -2.887598E-005
     201      12     7.633588     8.333333  -1.518341E-010   1.928498E+001   5.468379E-002   1.928843E+001  -1.928498E+001  -1.923374E+001  -5.123364E-002
     201      13     7.042254     7.633588  -2.080371E-010   1.459771E+001   4.685655E-002   1.460091E+001  -1.459771E+001  -1.455405E+001  -4.366569E-002
     201      14     6.451613     7.042254  -7.050449E-011   1.247707E+001   1.368888E-004   1.247707E+001  -1.247707E+001  -1.247694E+001  -1.304290E-004
     201      15     5.464481     6.451613   2.931433E-010   1.507026E+001   3.660616E-005   1.507026E+001  -1.507026E+001  -1.507022E+001  -3.412792E-005
     201      16     4.950495     5.464481   5.766765E-011   4.801144E+000   1.126727E-001   4.811667E+000  -4.801144E+000  -4.698994E+000  -1.021501E-001
     201      17     3.333333     4.950495  -2.517675E-011   4.495680E+000   1.516429E+000   5.080606E+000  -4.495680E+000  -3.564176E+000  -9.315042E-001
     301       1    40.000000 10000.000000   1.040728E-009   2.495135E+001   1.998492E-004   2.495136E+001  -2.495135E+001  -2.495116E+001  -1.969706E-004
     301       2    29.411765    40.000000  -6.780212E-010   2.726482E+001   1.779184E-004   2.726482E+001  -2.726482E+001  -2.726464E+001  -1.733560E-004
     301       3    25.000000    29.411765   7.394441E-011   2.280905E+001   1.608771E-004   2.280905E+001  -2.280905E+001  -2.280889E+001  -1.588239E-004
     301       4    20.833333    25.000000   2.801244E-010   3.444662E+001   4.277611E-003   3.444670E+001  -3.444662E+001  -3.444242E+001  -4.204266E-003
     301       5    19.230769    20.833333  -2.848424E-010   1.832646E+001   5.768926E-002   1.832782E+001  -1.832646E+001  -1.827013E+001  -5.632840E-002
     301       6    17.543860    19.230769   4.062706E-011   2.335965E+001   1.726599E+000   2.341527E+001  -2.335965E+001  -2.168867E+001  -1.670980E+000
     301       7    13.333333    17.543860   1.140123E-009   6.816071E+001   7.700029E+001   8.258507E+001  -6.816071E+001  -5.584772E+000  -6.257594E+001
     301       8    11.627907    13.333333   8.203607E-010   4.437359E+001   6.615200E+000   4.476182E+001  -4.437359E+001  -3.814662E+001  -6.226974E+000
     301       9     9.009009    11.627907   1.152799E-009   7.717555E+001   3.250468E+000   7.735347E+001  -7.717555E+001  -7.410300E+001  -3.072544E+000
     301      10     8.695652     9.009009   4.251755E-011   9.226059E+000   9.909004E-005   9.226061E+000  -9.226059E+000  -9.225962E+000  -9.721614E-005
     301      11     8.333333     8.695652  -1.720220E-010   1.042477E+001   2.815302E-005   1.042477E+001  -1.042477E+001  -1.042474E+001  -2.715317E-005
