H2                   200  6000  1000
 5.35267000E+00  6.94209000E-03 -2.50061000E-06  4.13231000E-10 -2.59692000E-14 -7.81007000E+03 -3.80283000E+00
 2.99539000E+00  1.23540000E-02 -4.06499000E-06 -3.34608000E-09  2.24152000E-12 -7.15097000E+03  8.53716000E+00
CH3CHO               300  5000  1000
 5.86900000E+00  1.07940000E-02 -3.64600000E-06  5.41300000E-10 -2.89700000E-14 -2.26500000E+04 -6.01300000E+00
-5.97842000E+01  4.89059000E-01 -1.27143000E-03  1.42135000E-06 -5.67547000E-10 -1.52478000E+04  2.71669000E+02
C2H5OH               300  5000  1000
 5.62516000E+00  1.59916000E-02 -5.36799000E-06  8.43422000E-10 -5.11406000E-14 -3.10498000E+04 -3.61961000E+00
 9.39858000E-01  2.61811000E-02 -9.25134000E-06 -3.45825000E-09  2.62098000E-12 -2.96238000E+04  2.12634000E+01
C2H5OOH              300  5000  1000
 8.86549000E+00  1.46991000E-02 -4.66630000E-06  7.03129000E-10 -4.13262000E-14 -2.34663000E+04 -1.74646000E+01
 2.03266000E+00  3.20310000E-02 -1.79773000E-05  2.38766000E-09  1.07206000E-12 -2.15063000E+04  1.82187000E+01
CH3COOOH             300  5000  1000
 7.87651000E+00  1.42400000E-02 -4.81648000E-06  7.62396000E-10 -4.65514000E-14 -4.39851000E+04 -9.71105000E+00
 2.19569000E-01  3.53131000E-02 -2.24276000E-05  3.22888000E-09  1.67243000E-12 -4.19548000E+04  2.96617000E+01
C3H6Y                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C3H8                 300  5000  1000
 7.52521700E+00  1.88903400E-02 -6.28392400E-06  9.17937300E-10 -4.81241000E-14 -1.64645480E+04 -1.78439000E+01
 8.96920800E-01  2.66898600E-02  5.43142500E-06 -2.12600000E-08  9.24333000E-12 -1.39549180E+04  1.93553300E+01
C4H8Y                300  5000  1000
 9.30019470E+00  1.98714620E-02 -6.57139750E-06  1.02588880E-09 -6.21603940E-14 -4.66497070E+03 -2.42603000E+01
-2.58697420E-01  4.14754970E-02 -2.13176860E-05  2.79188210E-09  8.57493110E-13 -1.61809580E+03  2.67207180E+01
C4H10                300  4000  1500
 1.99878400E+01  1.03728070E-02 -9.61081800E-07 -4.62301700E-10  8.20282800E-14 -2.62557100E+04 -8.83790700E+01
-2.25661800E+00  5.88173200E-02 -4.52578200E-05  2.03711500E-08 -4.07945800E-12 -1.76023300E+04  3.32959500E+01
C2H5CHO              300  5000  1000
 7.01077220E+00  1.80134480E-02 -6.22952170E-06  1.00058390E-09 -6.16617220E-14 -2.56914570E+04 -9.54882810E+00
 2.82770230E+00  2.54303650E-02 -6.19132200E-06 -5.02451770E-09  2.67856090E-12 -2.42713480E+04  1.32340890E+01
C3H7OH               300  5000  1000
 7.16746810E+00  2.24666240E-02 -7.62923720E-06  1.20972310E-09 -7.38840750E-14 -3.46867730E+04 -9.53935620E+00
 1.23506930E+00  3.44532840E-02 -1.05891330E-05 -5.48568040E-09  3.51469940E-12 -3.28049380E+04  2.22681480E+01
C2H6CO               300  5000  1000
 5.99759960E+00  1.96790970E-02 -7.01545740E-06  1.15135790E-09 -7.20354160E-14 -2.93626560E+04 -5.52547840E+00
 1.45778270E+00  2.80637150E-02 -9.02185180E-06 -2.45367060E-09  1.67302320E-12 -2.77941040E+04  1.92184540E+01
C3H8CO               300  5000  1000
 8.78889470E+00  2.41740100E-02 -8.34464030E-06  1.33766480E-09 -8.22718220E-14 -3.30183670E+04 -1.78194890E+01
 2.73165180E+00  3.58153580E-02 -1.10850160E-05 -4.45162260E-09  2.84358730E-12 -3.10061890E+04  1.49496040E+01
13C4H6               300  5000  1000
 8.05184560E+00  1.75408890E-02 -6.17606570E-06  1.00476560E-09 -6.24795420E-14  9.56979490E+03 -1.86117100E+01
-2.92244730E-01  3.87252010E-02 -1.67067190E-05 -8.10809020E-09  6.74215410E-12  1.17492360E+04  2.44447020E+01
C2H3CHOZ             300  5000  1000
 1.23118860E+01  1.29615880E-02 -6.17746540E-06  1.25014050E-09 -9.11699710E-14 -1.52189510E+04 -4.23031770E+01
 9.31374370E-01  3.55744180E-02 -3.33472640E-05  2.83980340E-08 -1.13956440E-11 -1.06143290E+04  2.10594920E+01
C3H7OOH              300  5000  1000
 1.13369260E+01  2.03940480E-02 -6.70932420E-06  1.04778610E-09 -6.37281910E-14 -3.05036720E+04 -2.97763900E+01
 1.02776750E+00  4.92908770E-02 -3.27000230E-05  7.37824820E-09  1.00035330E-12 -2.77747950E+04  2.31591000E+01
C4H8O                300  5000  1000
 7.85446310E+00  2.58878790E-02 -9.23567040E-06  1.52486370E-09 -9.62579420E-14 -2.98789180E+04 -1.37303660E+01
-1.91192260E+00  5.26981990E-02 -3.27858650E-05  6.75937000E-09  1.15836680E-12 -2.72271800E+04  3.66397250E+01
C4H9OH               300  5000  1000
 9.43851090E+00  2.82906630E-02 -9.71713140E-06  1.56298700E-09 -9.69424940E-14 -3.87916880E+04 -2.18479610E+01
 7.03916240E-04  5.14341180E-02 -2.50480060E-05  2.19331050E-10  2.86537350E-12 -3.60718670E+04  2.75753920E+01
C3H7OCH3             300  5000  1000
