 NNH                                                    N2         H                                            3.000e+08  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 H2CN                                                   HCN        H                                            5.487e+13 -6.000e+00  1.503e+04  2.000e+00  1.000e+02
