 CH2OH      3CH2                                        CH3        H2CO                                         1.993e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      CH3                                         CH4        H2CO                                         3.987e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      CH4                                         CH3OH      CH3                                          1.722e-15  3.100e+00  8.145e+03  2.000e+00  1.000e+02
 CH2OH      O-3P                                        H2CO       OH                                           6.977e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      OH                                          H2O        H2CO                                         3.987e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      HCO                                         CH3OH      CO                                           1.993e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      HCO                                         H2CO       H2CO                                         2.990e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      H2CO                                        CH3OH      HCO                                          7.883e-14  2.800e+00  2.966e+03  2.000e+00  1.000e+02
 CH2OH      CH3O                                        CH3OH      H2CO                                         3.987e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2OH      CH2OH                                       CH3OH      H2CO                                         2.326e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3OH      H                                           CH3        H2O                                          3.322e-10  0.000e+00  2.665e+03  2.000e+00  1.000e+02
 CH3OH      H                                           CH3O       H2                                           1.111e-12  2.100e+00  2.464e+03  2.000e+00  1.000e+02
 CH3OH      1CH2                                        CH2OH      CH3                                          2.492e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3OH      3CH2                                        CH3        CH2OH                                        4.477e-15  3.200e+00  3.620e+03  2.000e+00  1.000e+02
 CH3OH      3CH2                                        CH3        CH3O                                         1.142e-15  3.100e+00  3.469e+03  2.000e+00  1.000e+02
 CH3OH      O-3P                                        CH2OH      OH                                           5.648e-11  0.000e+00  2.765e+03  2.000e+00  1.000e+02
 CH3OH      O-3P                                        CH3O       OH                                           1.661e-11  0.000e+00  2.363e+03  2.000e+00  1.000e+02
 CH3OH      OH                                          CH2OH      H2O                                          4.635e-13  2.000e+00 -1.709e+02  2.000e+00  1.000e+02
 CH3OH      OH                                          CH3O       H2O                                          8.073e-14  2.000e+00 -1.709e+02  2.000e+00  1.000e+02
 CH3OH      CH3O                                        CH3OH      CH2OH                                        4.983e-13  0.000e+00  2.061e+03  2.000e+00  1.000e+02
 CO2        3CH2                                        H2CO       CO                                           3.821e-14  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH         NH                                          NNH        H                                            8.472e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH         NH                                          N2         H2                                           4.983e-14  1.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH         H2                                          NH2        H                                            1.661e-10  0.000e+00  1.009e+04  2.000e+00  1.000e+02
 NH2        NH                                          N2H2       H                                            1.439e-10 -5.000e-01  0.000e+00  2.000e+00  1.000e+02
 NH3        NH                                          NH2        NH2                                          5.249e-10  0.000e+00  1.346e+04  2.000e+00  1.000e+02
 NH2        NH2                                         N2H2       H2                                           1.661e-11  0.000e+00  7.541e+02  2.000e+00  1.000e+02
 N2H3       H                                           NH2        NH2                                          8.306e-11  0.000e+00  1.006e+03  2.000e+00  1.000e+02
 NH3        H                                           NH2        H2                                           7.934e-13  2.400e+00  4.987e+03  2.000e+00  1.000e+02
 NH3        NH2                                         N2H3       H2                                           2.877e-12  5.000e-01  1.086e+04  2.000e+00  1.000e+02
 NNH        H                                           N2         H2                                           1.661e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NNH        NH                                          N2         NH2                                          5.754e-12  5.000e-01  1.006e+03  2.000e+00  1.000e+02
 NNH        NH2                                         N2         NH3                                          1.661e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NNH        NNH                                         N2H2       N2                                           1.661e-11  0.000e+00  2.011e+03  2.000e+00  1.000e+02
 N2H2       H                                           NNH        H2                                           4.620e-13  2.630e+00 -1.156e+02  2.000e+00  1.000e+02
 N2H2       NH                                          NNH        NH2                                          1.661e-11  0.000e+00  3.017e+03  2.000e+00  1.000e+02
 N2H2       NH2                                         NH3        NNH                                          1.575e-15  4.050e+00 -8.095e+02  2.000e+00  1.000e+02
 N2H3       NH                                          N2H2       NH2                                          3.322e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 N2H3       NNH                                         N2H2       N2H2                                         1.661e-11  0.000e+00  2.011e+03  2.000e+00  1.000e+02
 N2H3       H                                           N2H2       H2                                           1.661e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 N2H3       H                                           NH         NH3                                          1.661e-13  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 N2H3       NH2                                         NH3        N2H2                                         2.877e-12  5.000e-01  0.000e+00  2.000e+00  1.000e+02
 N2H3       N2H3                                        NH3        NH3        N2                                4.983e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH3        O-3P                                        NH2        OH                                           2.909e-13  2.100e+00  2.619e+03  2.000e+00  1.000e+02
 NH3        OH                                          NH2        H2O                                          7.635e-13  1.600e+00  4.776e+02  2.000e+00  1.000e+02
 NH2        O-3P                                        NH         OH                                           1.163e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH2        OH                                          NH         H2O                                          7.768e-13  1.500e+00 -2.313e+02  2.000e+00  1.000e+02
 N2H3       O-3P                                        N2H2       OH                                           3.322e-11  0.000e+00  5.028e+02  2.000e+00  1.000e+02
 N2H3       O-3P                                        NNH        H2O                                          9.092e-12  5.000e-01  0.000e+00  2.000e+00  1.000e+02
 N2H3       OH                                          N2H2       H2O                                          2.410e-12  6.800e-01  6.486e+02  2.000e+00  1.000e+02
 N2H2       O-3P                                        NNH        OH                                           3.322e-11  0.000e+00  5.028e+02  2.000e+00  1.000e+02
 N2H2       OH                                          NNH        H2O                                          2.600e-14  3.400e+00 -6.838e+02  2.000e+00  1.000e+02
 NNH        O-3P                                        N2         OH                                           2.535e-11 -1.230e+00  2.514e+02  2.000e+00  1.000e+02
 NNH        OH                                          N2         H2O                                          2.928e-09 -2.880e+00  1.229e+03  2.000e+00  1.000e+02
 N2H2       CH3                                         NNH        CH4                                          1.140e-13  1.870e+00  1.493e+03  2.000e+00  1.000e+02
 N2H3       CH3                                         N2H2       CH4                                          5.840e-14  1.870e+00  9.140e+02  2.000e+00  1.000e+02
 CH4        NH                                          CH3        NH2                                          1.495e-10  0.000e+00  1.010e+04  2.000e+00  1.000e+02
 CH4        NH2                                         CH3        NH3                                          1.993e-11  0.000e+00  7.617e+03  2.000e+00  1.000e+02
 CH3        NH2                                         3CH2       NH3                                          1.140e-13  1.870e+00  3.806e+03  2.000e+00  1.000e+02
 HOCN       O-3P                                        NCO        OH                                           8.633e-14  2.640e+00  2.011e+03  2.000e+00  1.000e+02
 HOCN       H                                           NCO        H2                                           2.990e-12  2.000e+00  1.006e+03  2.000e+00  1.000e+02
 HOCN       H                                           NH2        CO                                           6.465e-15  6.100e-01  1.046e+03  2.000e+00  1.000e+02
 HOCN       OH                                          NCO        H2O                                          9.540e-14  2.000e+00  1.287e+03  2.000e+00  1.000e+02
 HOCN       CH3                                         NCO        CH4                                          5.840e-14  1.870e+00  3.328e+03  2.000e+00  1.000e+02
 HOCN       NH2                                         NCO        NH3                                          9.766e-14  1.940e+00  1.833e+03  2.000e+00  1.000e+02
 CN         CO2                                         NCO        CO                                           1.367e-12  2.160e+00  1.352e+04  2.000e+00  1.000e+02
 CN         NH3                                         HCN        NH2                                          1.528e-11  0.000e+00 -1.795e+02  2.000e+00  1.000e+02
 HNCO       CN                                          HCN        NCO                                          2.492e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NCO        H2CO                                        HNCO       HCO                                          9.967e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 3CH2       N2                                          HCN        NH                                           7.973e-12  0.000e+00  1.802e+04  2.000e+00  1.000e+02
 H2CN       H                                           HCN        H2                                           2.072e-12  1.500e+00 -4.495e+02  2.000e+00  1.000e+02
 H2CN       O-3P                                        HCN        OH                                           1.467e-12  1.500e+00 -4.495e+02  2.000e+00  1.000e+02
 H2CN       O-3P                                        HNCO       H                                            9.967e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 H2CN       CH3                                         HCN        CH4                                          5.771e-14  1.870e+00 -5.596e+02  2.000e+00  1.000e+02
 H2CN       OH                                          HCN        H2O                                          1.794e-13  2.000e+00 -5.993e+02  2.000e+00  1.000e+02
 H2CN       NH2                                         HCN        NH3                                          9.766e-14  1.940e+00 -5.792e+02  2.000e+00  1.000e+02
 CN         H2O                                         HCN        OH                                           6.645e-12  0.000e+00  3.720e+03  2.000e+00  1.000e+02
 CN         H2O                                         HOCN       H                                            6.645e-12  0.000e+00  3.720e+03  2.000e+00  1.000e+02
 OH         HCN                                         HOCN       H                                            6.231e-14  2.450e+00  6.094e+03  2.000e+00  1.000e+02
 OH         HCN                                         HNCO       H                                            4.323e-18  4.710e+00 -2.464e+02  2.000e+00  1.000e+02
 OH         HCN                                         NH2        CO                                           1.070e-13  0.000e+00  5.882e+03  2.000e+00  1.000e+02
 HOCN       H                                           HNCO       H                                            1.661e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 HCN        O-3P                                        NCO        H                                            7.940e-14  2.640e+00  2.504e+03  2.000e+00  1.000e+02
 HCN        O-3P                                        NH         CO                                           1.985e-14  2.640e+00  2.504e+03  2.000e+00  1.000e+02
 HCN        O-3P                                        CN         OH                                           3.678e-11  1.580e+00  1.337e+04  2.000e+00  1.000e+02
